10th,G LT,Y LT,R LT,G TR,Y TR,R TR/LT
WN-WE,8,1.8,1.8,30,3.8,55
ES-EW,5,3.6,4.2,28,3.8,55
SW-SN,7,3.6,2.2,34.7,3.6,49.3
NE-NS,7,3.6,2.2,34.7,3.6,49.3

11th,G LT,Y LT,R LT,G TR,Y TR,R TR
WN-WE,0,0,0,20.2,3.6,76.1
ES-EW,0,0,0,20.3,3.6,76.2
SW-SN,0,0,0,41.5,3.2,55.4
NE-NS,0,0,0,41.5,3.2,55.4

12th,G LT,Y LT,R LT,G TR,Y TR,R TR
WN-WE,0,0,0,27.3,3.6,69.2
ES-EW,0,0,0,27.3,3.6,69.2
SW-SN,0,0,0,60.9,3.2,35.7
NE-NS,0,0,0,61.4,3.2,35.7

13th,G LT,Y LT,R LT,G TR,Y TR,R TR
WN-WE,0,0,0,0,0,0
ES-EW,0,0,0,0,0,0
SW-SN,0,0,0,0,0,0
NE-NS,0,0,0,0,0,0

14th,G LT,Y LT,R LT,G TR,Y TR,R TR/LT
WN-WE,9.8,3.6,8.7,36.9,3.7,60.2
ES-EW,0,0,0,22.4,3.7,74
SW-SN,8.8,3.6,3.6,34.6,3.2,46.1
NE-NS,11.6,3.6,0.5,36.6,3.2,45.3
